facility,level,hub,district,region,dhis2_uid,dhis2_name,DHIS2_UID,HIBRID_UID
Orwamuge H/C III,H/C III,Abim Hub     ,Abim,North East,\N,Orwamuge HC III,pZhYWxNWH94,o9lV82kfNuj
Otwal H/C III,H/C III,Aber Hub    ,Oyam,Mid Northern,taeUtmBHKTF,Otwal HC III,taeUtmBHKTF,mZni5qCKbTP
Pabbo H/C III (Amuru Govt),H/C III,Atiak Hub   ,Amuru,Mid Northern,rYNfPnt4Wko,Pabbo (Govt) HC III,rYNfPnt4Wko,LfYwExTi0lC
Pabwo H/C III (Gulu),H/C III,Gulu Hub   ,Gulu,Mid Northern,WleyUUQfJK6,Pabwo HC III,WleyUUQfJK6,MRHKlF0TIe9
Pader H/C III,H/C III,Pajule Hub     ,Pader,Mid Northern,EsyH7yKQHiP,Pader HC III,EsyH7yKQHiP,Oopu45SNIXg
Padibe H/C IV,H/C IV,Madi Opei Hub   ,Lamwo,Mid Northern,H026HbOAZFN,Padibe HC IV,H026HbOAZFN,Ep1dNnNFNcG
Padre Pio H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Padre Pio HC III,XuummkDfiEK,nGiXXlC0min
Paimol H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,RM8vegpr7j7,Paimol HC III,RM8vegpr7j7,G1iqDM0uPi3
Pajule H/C  IV ,H/C IV,Pajule Hub     ,Pader,Mid Northern,\N,Pajule HC IV,NiSWW2k1Hqt,ZiZ097dl6GC
Palabek  Gem H/C III,H/C III,Madi Opei Hub   ,Lamwo,Mid Northern,aNW8E8PWwck,Palabek-Gem HC III,aNW8E8PWwck,aYWnqxSDeKC
Palabek Ogili H/C III,H/C III,Madi Opei Hub   ,Lamwo,Mid Northern,lmi2JiLawTV,Palabek Ogili HC III,lmi2JiLawTV,E48LzNqoGdB
Palabek-Kal H/C III,H/C III,Madi Opei Hub   ,Lamwo,Mid Northern,VLi163AL9A0,Palabek-Kal HC III,VLi163AL9A0,Hk5HjHnP69w
Paloga H/C III,H/C III,Madi Opei Hub   ,Lamwo,Mid Northern,aod4x8edzQu,Paloga HC III,aod4x8edzQu,FXqnwIsS1eB
Patiko H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,T5RAXrLQCD6,Patiko HC III,T5RAXrLQCD6,YVriltDywOp
Patongo H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,oUcwyNtRzrb,Patongo HC III,oUcwyNtRzrb,DMY5O5dklBb
Pawel H/C II,H/C II,Atiak Hub   ,Amuru,Mid Northern,mNeUlm3SpRz,Pawel HC II,mNeUlm3SpRz,VGivM6BKHe8
PIDC (Baylor-Mulago),Special Clinic,Kampala Hub,Kampala,Kampala,WuohOAlguVz,Mulago National Hospital-PIDC COE Ward 1,#N/A,JhnrkJPnIYd
Pingire H/C III,H/C III,Serere Hub   ,Serere,North East,\N,Pingire HC III,f8m6k3MjPsf,dgx7bFcm9M6
Purongo H/C III,H/C III,Anaka Hub   ,Nwoya,Mid Northern,fZ4QbeGxt8t,Purongo HC III,fZ4QbeGxt8t,WfA66AcaICf
Rakai Health Sciences Program,Special Clinic,Rakai Hub   ,Rakai,Central 1,aqqJXIn2j84,Rakai Health Sciences Program CLINIC,aqqJXIn2j84,yFsKjY1HIdv
Rakai Hospital,Hospital,Rakai Hub   ,Rakai,Central 1,axNgLDj6B5Q,Rakai Hospital,axNgLDj6B5Q,sagGRqizdYv
Rhino Camp H/C IV,H/C IV,Rhino Camp Hub  ,Arua,West Nile,\N,Rhino Camp HC IV,ccY5TpGvBqo,R4liNREUQcv
Rubaare H/C IV,H/C IV,Itojo Hub   ,Ntungamo,South Western,\N,Rubaare HC IV,acuu3ktUO4t,n4zE2BRm0rb
Lubaga Hospital,Hospital,Kampala Hub,Kampala,Kampala,dgmy0Fjx1KZ,Lubaga Hospital,dgmy0Fjx1KZ,PZ5Mqi88SfV
Rubaya H/C IV (Kabale),H/C IV,Kabale Hub   ,Kabale,South Western,oWTRZJbQxha,Rubaya HC IV,oWTRZJbQxha,Uyv7McEk1LX
Rubongi Military Hospital,Hospital,Tororo Hub   ,Tororo,Mid Eastern,ZVwFNyBsJxz,Rubongi Military HOSPITAL,ZVwFNyBsJxz,LgsUsl9ChJK
Rubuguri H/C IV,H/C IV,Kisoro Hub   ,Kisoro,South Western,GTtwaqeomFa,Rubuguri HC IV,GTtwaqeomFa,MeeuU1neGAQ
Rugaaga H/C IV,H/C IV,Rwekubo Hub   ,Isingiro,South Western,aHuJWP6FfFo,Rugaaga HC IV,aHuJWP6FfFo,Q30EMqw361S
Rugarama Hospital,Hospital,Kabale Hub   ,Kabale,South Western,Z6BzVrxa9xd,Rugarama Hospital,Z6BzVrxa9xd,q1z3LqcgP4v
Rugazi H/C IV,H/C IV,Rugazi Hub   ,Rubirizi,South Western,VvGZi1LcYyP,Rugazi HC IV,VvGZi1LcYyP,uDFR43JtHz7
Ruhaama H/C III,H/C III,Itojo Hub   ,Ntungamo,South Western,\N,Ruhaama HC III,Uo8eU7Qrx0v,JNBMuogW221
Ruhiira H/C III,H/C III,Rwekubo Hub   ,Isingiro,South Western,aqpJDW5rDvU,Ruhiira HC III,aqpJDW5rDvU,HyxvztaAGLU
Ruhinda H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Ruhinda HC III,HYR3olhofDD,EMA2UKs97sW
Ruhoko H/C IV,H/C IV,Ruhoko Hub   ,Ibanda,South Western,QLP6OdRGJsz,Ruhoko HC IV,QLP6OdRGJsz,FNLJY8QydCR
Rukiri H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,waacA54DZjH,Rukiri HC III,waacA54DZjH,MoaJCe9aGMq
Rukoni H/C III,H/C III,Itojo Hub   ,Ntungamo,South Western,\N,Rukoni HC III,oBioSOuF497,f7KtJ15247m
Rukungiri H/C IV,H/C IV,Nyakibale Hub   ,Rukungiri,South Western,amaqHI7PUL2,Rukungiri HC IV,amaqHI7PUL2,DZqu1G8kOt2
Rukunyu General Hospital,Hospital,Rukunyu Hub    ,Kamwenge,Mid Western,HXap310Pwnz,Rukunyu HC IV,HXap310Pwnz,JVpCurFgsd6
Rushere Community Hospital,Hospital,Rushere Hub   ,Kiruhura,South Western,rrjDjA0JfXN,Rushere Community Hospital,rrjDjA0JfXN,z230Kw4VNwJ
Rushooka H/C II,H/C II,Itojo Hub   ,Ntungamo,South Western,y1S7Kh163t9,St. Mother Francisca Lechner Rushooka HC,#N/A,saK69mtpbSg
Ruteete H/C III,H/C IV,FortPortal Hub  ,Kabarole,Mid Western,\N,Ruteete HC III,YzWi4kmieZt,plSnQ80JkZd
Rwaitengya H/C II,H/C II,Kyenjojo Hub   ,Kyenjojo,Mid Western,\N,Rwaitengya HC II,a2LroN27znu,ECQWfC3TPIc
Rwakabengo H/C III,H/C III,Nyakibale Hub   ,Rukungiri,South Western,\N,Rwakabengo HC III,s0zpjmlFHb3,RUovYpv3YtG
Rwamwanja H/C III,H/C III,Rukunyu Hub    ,Kamwenge,Mid Western,\N,Rwamwanja HC III,CK8TCNDBPNc,tWLesulAMJM
Rwashamaire H/C IV,H/C IV,Itojo Hub   ,Ntungamo,South Western,CSpqU3MIZuC,Rwashamaire HC IV,CSpqU3MIZuC,KtdVfPdntvu
Rwebisengo H/C III,H/C III,Bundibugyo Hub   ,Ntoroko,Mid Western,\N,Rwebisengo HC III,wVQqiOrorr6,qym5axzA6Im
Rweikiniro H/C III,H/C III,Itojo Hub   ,Ntungamo,South Western,\N,Rweikiniro HC III,QfWjCf5pKFh,dCtAk2WD9tW
Rwekubo H/C IV,H/C IV,Rwekubo Hub   ,Isingiro,South Western,XWqf7PB1OaR,Rwekubo HC IV,XWqf7PB1OaR,ei4cO3iodZU
Rwemikoma H/C III,H/C III,Rushere Hub   ,Kazo,South Western,\N,Rwemikoma HC III,YVFR8N62ego,XHb8Hnx2rkf
Rwenkobwa H/C III,H/C III,Ruhoko Hub   ,Ibanda,South Western,\N,Rwenkobwa HC III,aG2AogxcfRK,kMv0m9FI0NY
Rwenyawawa H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,Y7XKVrGNA6d,Rwenyawawa HC III,Y7XKVrGNA6d,er3KWxP7n3A
Rwesande H/C IV ,H/C IV,Kilembe Mines Hub   ,Kasese,Mid Western,\N,Rwesande HC IV,KSrm1cFNorS,WGgxqs907fd
Rwimi H/C III,H/C III,FortPortal Hub  ,Bunyangabu,Mid Western,aHXEy4fCaPw,Rwimi HC III,aHXEy4fCaPw,nKnkWygvnIW
Seeta Nazigo H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,qmgb0UXgPfs,Seeta-Nazigo HC III,qmgb0UXgPfs,PWJsRpk5pEt
Ssembabule H/C IV,H/C IV,Ssembabule Hub   ,Ssembabule,Central 1,SYB67Y2wfuD,Ssembabule HC IV,SYB67Y2wfuD,WN6hpCJ2GMl
Serere H/C IV,H/C IV,Serere Hub   ,Serere,North East,\N,Serere HC IV,DXmJVAw33mJ,wuYVFDV44NQ
Shuku H/C IV,H/C IV,kitagata Hub   ,Sheema,South Western,x5X8VtL2T0e,Shuuku HC IV,x5X8VtL2T0e,tAXx96Kch8G
Soroti R R Hospital,Regional Referral Hospital,Soroti Hub   ,Soroti,North East,Nnms2rd2gpC,Soroti REGIONAL REF HOSPITAL,Nnms2rd2gpC,uZGAnEh70VL
St Balikuddembe Market/Uganda Cares  AHF,Special Clinic,Kampala Hub,Kampala,Kampala,achnrImSgWR,St. Balikudembe- Kitwe HC II,#N/A,SAzPLTfxZwe
TASO Jinja,Special Clinic,Jinja Hub   ,Jinja,East Central,zK4jOLmfhz9,TASO Jinja CLINIC,zK4jOLmfhz9,CxMEN5dcxSW
TASO Masaka,Special Clinic,Masaka Hub   ,Masaka,Central 1,ZO1Hltpt3Ko,TASO Masaka CLINIC,ZO1Hltpt3Ko,ILZlOAeCSji
TASO Mbale,Special Clinic,Mbale Hub   ,Mbale,Mid Eastern,a929G14p47c,TASO Mbale Clinic,a929G14p47c,Lsblly1zfTE
TASO Mbarara,Special Clinic,Mbarara Hub   ,Mbarara,South Western,k4AuRrsUWCi,TASO Mbarara CLINIC,k4AuRrsUWCi,WmRRDtjP1hh
TASO Rukungiri,Special Clinic,Nyakibale Hub   ,Rukungiri,South Western,yNzhd0wG9MO,TASO Rukungiri HC II,yNzhd0wG9MO,XxV8AG7TegQ
TASO Soroti,Special Clinic,Soroti Hub   ,Soroti,North East,p0fJEq6m1ew,TASO Soroti CLINIC,p0fJEq6m1ew,bdZ5HkExKjk
TASO Tororo,Special Clinic,Tororo Hub   ,Tororo,Mid Eastern,CQqWk34vLNB,TASO Tororo CLINIC,CQqWk34vLNB,uIUprRSaxKh
Teboke H/C III,H/C III,Apac Hub    ,Apac,Mid Northern,hVamgpmtonX,Teboke (Gvt) HC III,hVamgpmtonX,ZUB0MPJsxn0
Tokora H/C IV,H/C IV,Tokora Hub    ,Nakapiripirit,North East,oLPpU9BQsKF,Tokora HC IV,oLPpU9BQsKF,AFAMZ8PRDmQ
Toro  Kahuna H/C III,H/C III,FortPortal Hub  ,Kabarole,Mid Western,\N,Toro Kahuna HC III,BsqCx1RBM4V,QMHYnLQk7Dz
Tubur H/C III,H/C III,Soroti Hub   ,Soroti,North East,\N,Tubur HC III,kkYUoOF74Eb,UKBR0PQ99fg
Villa Maria Hospital,Hospital,Butenga Hub   ,Kalungu,Central 1,NTlPENoySCQ,Villa Maria Hospital,NTlPENoySCQ,sTasFusTsrH
Virika Hospital,Hospital,FortPortal Hub  ,Kabarole,Mid Western,uiLzeURGsDn,Virika Hospital,uiLzeURGsDn,BXXpN0V8o9M
Wabulungu H/C III,H/C III,Kigandalo hub   ,Mayuge,East Central,u5jXNGfi96o,Wabulungu HC III,u5jXNGfi96o,ANrseLIRDGt
Wakiso H/C IV,H/C IV,Wakiso Hub  ,Wakiso,Central 1,UTcf3vkubN9,Wakiso HC IV,UTcf3vkubN9,iUjJil2Zuy5
Walukuba H/C IV ,H/C IV,Jinja Hub   ,Jinja,East Central,\N,Walukuba HC IV,E2mdeU0lkNe,ohm1RmMw0yf
Western Division H/C III,H/C III,Soroti Hub   ,Soroti,North East,\N,Western Division HC III,abcJcH3EO75,WUyy4T4bs7j
Wol H/C III,H/C III,Kalongo Hub   ,Agago,Mid Northern,qOIHRAbHyeu,Wol HC III,qOIHRAbHyeu,V5yvFR7TFrE
Yerya H/C III,H/C III,FortPortal Hub  ,Bunyangabu,Mid Western,\N,Yerya HC III,z3ldDiQ4JHT,AmXfV2vlKSg
Yumbe Hospital,Hospital,Yumbe Hub   ,Yumbe,West Nile,MUxAV5pwDbk,Yumbe Hospital,MUxAV5pwDbk,qA6IAccgP5F
Kitaasa H/C III,H/C III,Ssembabule Hub   ,Bukomansimbi,Central 1,agQsp6hFdZa,St. Mechtilda Kitaasa HC III,agQsp6hFdZa,oXxBq1JC5OR
Bigasa H/C III,H/C III,Ssembabule Hub   ,Bukomansimbi,Central 1,HW6fE9RYBjI,Bigasa HC III,HW6fE9RYBjI,ENNIMGQhDyG
Nampunge Church of God H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,O3FdvltAUSh,Nampunge HC II,O3FdvltAUSh,N4JHlrPMc6B
Kyeizooba H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,aL6mherCqRW,Kyeizooba HC III,aL6mherCqRW,nplKoJy0ZAp
Mpunge H/C III (Mukono),H/C III,Mukono Hub ,Mukono ,Central 2,QROYnp0n7wL,Mpunge HC III,QROYnp0n7wL,rsQmYlTVhWl
Koome H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,fkASUL2GNdM,Koome HC III,fkASUL2GNdM,yfzDBzguZ9A
Kitabaazi H/C II,H/C II,Masaka Hub   ,Masaka,Central 1,\N,Kitabaazi HC II,tViSdSGUcZ3,igYohfs3VBx
Naama H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,\N,Naama HC III,ahYrfYMxirO,awUBEMWfUn4
Rengen H/C III,H/C III,Kotido Hub  ,Kotido,North East,NWVYfI4QaPR,Rengen HC III,NWVYfI4QaPR,saomXm2M6OB
Nagojje H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,VSGCAKuW01y,Nagojje HC III,VSGCAKuW01y,JZZiRhZpvOf
Nabweru H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,\N,Nabweru HC III,akpHXftD4yu,f3VBwbrruiW
Nabutiti H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,as4V8saM5sc,Nabutiti HC III,as4V8saM5sc,IMeeASWkv4G
Nakawuka H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,\N,Nakawuka HC III,bmQmfGiYGAM,S3elUOaUYYR
Kasanje H/C III,H/C III,Entebbe Hub   ,Wakiso,Central 1,srSDFLCcrSi,Kasanje HC III,srSDFLCcrSi,ikvh8ULitEw
Nsangi H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,aFlGqyWRQfr,Nsangi HC III,aFlGqyWRQfr,UAeOuu9Njlk
Namulonge H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,XvZPDBgzWFf,Namulonge HC III,XvZPDBgzWFf,P9yLt2YwYxi
Kawanda H/C III,H/C III,Wakiso Hub  ,Wakiso,Central 1,avZWtMODscD,Kawanda HC III,avZWtMODscD,eLtOu3BjKGK
Koboko Mission H/C III,H/C III,Koboko Hub   ,Koboko,West Nile,\N,Koboko Mission HC III,aXGjPN0urzK,R49Y4ific6Y
Ludara H/C III,H/C III,Koboko Hub   ,Koboko,West Nile,\N,Ludara HC III,arcJgFPVh0M,MGKDDQ8GoPG
St Gabriel Mirembe Maria H/C III,H/C III,kassanda Hub   ,Mubende,Central 2,vh8cOiWZOv9,Mirembe Maria HC III,vh8cOiWZOv9,agANsC5fXMr
Buwama H/C III,H/C III,Mpigi Hub    ,Mpigi,Central 1,Vi3ibjRtMzU,Buwama HC III,Vi3ibjRtMzU,AwwOqie4Xtg
Kabushaho H/C III,H/C III,Bushenyi Hub   ,Bushenyi,South Western,\N,Kabushaho HC III,aXnnYprMwTq,yWBbKu2Gyk1
Jinja Central H/C III,H/C III,Jinja Hub   ,Jinja,East Central,JMmqH0e4HlX,Jinja Central HC III,JMmqH0e4HlX,xwODrhTbKoa
Ssekanyonyi H/C IV,H/C IV,Mityana Hub   ,Mityana,Central 2,aFuRtjSdg4X,Ssekanyonyi HC IV,aFuRtjSdg4X,HJP0DRJISSB
Nabalanga H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,sqQsFNhXH9W,Nabalanga HC III,sqQsFNhXH9W,lMjHHiTMszr
Kitenga H/C III (Mubende),H/C III,Mubende Hub    ,Mubende,Central 2,QBPWzy66HiY,Kitenga HC III,QBPWzy66HiY,FqybwoY0zkk
Namuganga H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,\N,Namuganga HC III,aiyix4P4FmA,hjpVcqjzBfL
Kyabazaala H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,a6p3dWy4ce7,Kyabazaala HC III,a6p3dWy4ce7,xhwv3MlCYLx
Mpumudde H/C III (Lyantonde),H/C III,Lyantonde Hub   ,Lyantonde,Central 1,A8vURIvnH87,Mpumudde HC III,A8vURIvnH87,bA9KztvYQWh
Takajjunge H/C II,H/C II,Mukono Hub ,Mukono ,Central 2,\N,Takajjunge HC II,RfweVyD8d7w,pVinoOPKN4J
Kijomoro H/C III,H/C III,Arua Hub   ,Maracha Terego,West Nile,\N,Kijomoro HC III,iIrDj4WIA6O,Sz6Ps3L65ty
Nakasongola H/C IV,H/C IV,Nakasongola Hub   ,Nakasongola,Central 2,h2oF7upS6k9,Nakasongola HC IV,h2oF7upS6k9,D8G1RTqPK2G
Ngom-oromo H/C II,H/C II,Madi Opei Hub   ,Lamwo,Mid Northern,ahIE2es9s39,MgomoromoNgomoroma HC II,#N/A,zC7wgTslYzB
Nazigo H/C III,H/C III,Kayunga Hub  ,Kayunga,Central 2,Y7AAzZu1IrM,Nazigo HC III,Y7AAzZu1IrM,UGHNeAnaV9c
Lyantonde Muslim H/C III,H/C III,Lyantonde Hub   ,Lyantonde,Central 1,RYMEkOh45MP,Lyantonde Muslim HC III,RYMEkOh45MP,MPQ5PAxWFiH
Katoogo H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,axNVMZcgPLU,Katoogo HC III,axNVMZcgPLU,RoleqdaIltv
Pakwach H/C IV,H/C IV,Nebbi Hub   ,Pakwach,West Nile,\N,Pakwach HC IV,R11qcaG5pbk,IiD7OlZ0UKC
Nyendo H/C II,H/C II,Masaka Hub   ,Masaka,Central 1,\N,Nyendo HC II,thfQt8hcpAP,BLiO40yBzg3
Mpenja H/C III,H/C III,Maddu Hub    ,Gomba,Central 1,CcCjT4HFRuy,Mpenja HC III,CcCjT4HFRuy,iWkZgUJq1Cy
Dwoli H/C III,H/C III,Hoima Hub   ,Hoima,Mid Western,aPr9XQM36Dn,Dwooli HC III,aPr9XQM36Dn,NCqx2QAvhc1
Komamboga H/C III,H/C III,Kampala Hub,Kampala,Kampala,TT8I4Fy4d5r,Komamboga HC III,TT8I4Fy4d5r,fDVQnv6BPWQ
Kisugu H/C III,H/C III,Kampala Hub,Kampala,Kampala,aKmx8C5qUZ8,Kisugu HC III,aKmx8C5qUZ8,xgyvdhsybIv
Masaka Municipal Council H/C II,H/C IV,Masaka Hub   ,Masaka,Central 1,fBndBN2WUYM,Masaka Mun. Council HCII,fBndBN2WUYM,DvYW49aqU8V
Butagaya H/C III,H/C III,Jinja Hub   ,Jinja,East Central,\N,Butagaya HC III,ga9sLsbCiMo,soDuDFVOhUy
Busedde H/C III,H/C III,Jinja Hub   ,Jinja,East Central,t5UJ7lyEPo3,Busedde HC III,t5UJ7lyEPo3,puJSvXnXUZ8
Kaliro H/C III (Lyantonde),H/C III,Lyantonde Hub   ,Lyantonde,Central 1,MsrKKJaEXiV,Kaliiro HC III,MsrKKJaEXiV,ejRZkqte06K
Kisiita H/C III,H/C III,Kakindo Hub   ,Kakumiro,Mid Western,\N,Kisiita HC III,TIJcUNU05Ao,YGdUPdVR0he
Busembatia H/C III,H/C III,Iganga Hub    ,Iganga,East Central,RWICuGNoE6b,Busembatia HC III,#N/A,rQVtrSshyOr
Panyimur H/C III,H/C III,Nebbi Hub   ,Pakwach,West Nile,\N,Panyimur HC III,YcMgrtcbVpk,DiGUxNQ42Is
Kisenyi H/C IV (Kampala),H/C IV,Kampala Hub,Kampala,Kampala,hjZvWkoLzzp,Kisenyi HC III,#N/A,k48rlblHGx3
Osukuru H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,z5H8YZiBOtr,Osukuru HC III,z5H8YZiBOtr,xnBf2rpqqJd
Njeru T/C H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,OiuyBahpmGI,Njeru T.C HC III,OiuyBahpmGI,OCaRCY2fJsk
Mpugwe H/C III,H/C III,Masaka Hub   ,Masaka,Central 1,RvVYLDPIzPb,Mpugwe HC III,RvVYLDPIzPb,aIN9BC7R0DP
Entebbe Hospital MCH General,Hospital,Entebbe Hub   ,Wakiso,Central 1,yApOnywci25,Entebbe HOSPITAL,yApOnywci25,ZyF9GIVH3lm
Maanyi H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,tKfAzzZrSC7,Maanyi HC III,tKfAzzZrSC7,MgMJZTWXXQw
Malangala H/C III,H/C III,Mityana Hub   ,Mityana,Central 2,qrvgF3UwZzS,Malangala HC III,qrvgF3UwZzS,qtLJ0pX44jD
Ikumbya H/C III (Luuka),H/C III,Kamuli Hub   ,Luuka,East Central,Hw81fhqydaB,Ikumbya HC III,Hw81fhqydaB,sQgQg0odoAJ
Kitokolo H/C II,H/C II,kassanda Hub   ,Mubende,Central 2,\N,Kitokolo HC II,LoLoHmDsEna,n3G2plcgvYv
Paidha H/C III,H/C III,Warr Hub  ,Zombo,West Nile,\N,Paidha HC III,P1F2OCX6d3t,sy6YlL2cqn3
Zeu H/C III,H/C III,Warr Hub  ,Zombo,West Nile,\N,Zeu HC III,Wk8yKMCUZOk,FkBfYCoQri0
Lwamata H/C III,H/C III,Kiboga Hub   ,Kiboga,Central 2,mNMqG0YEffI,Lwamata HC III,mNMqG0YEffI,YvG6fRUrxCn
Lulyambuzi H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,Tb7BdBuiIn8,Lulyambuzi HC III,Tb7BdBuiIn8,Y2mBIb3tFEl
Wakisi H/C III,H/C III,Kawolo Hub   ,Buikwe ,Central 2,an1CZjQ65h7,Wakisi HC III,an1CZjQ65h7,wkBJySpamKU
Mifumi H/C III,H/C III,Tororo Hub   ,Tororo,Mid Eastern,\N,Mifumi HC III,F50gOkQjBg9,myAbLWUdFOJ
Budini H/C III,H/C III,Bumanya Hub   ,Kaliro,East Central,EYPlRLvDGxp,Budini HC III,EYPlRLvDGxp,fNWiz8dtVuu
Nkondo H/C III,H/C III,Kidera Hub   ,Buyende ,East Central,x3sV3Vm3jFW,Nkondo HC III,x3sV3Vm3jFW,nawBV2F6Ipa
Namasagali H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,xXyZHTAldd9,Namasagali HC III,xXyZHTAldd9,cwmlOh8MN0x
Iganga Town Council H/C III,H/C III,Iganga Hub    ,Iganga,East Central,M6qnxgpeCA4,Iganga Town Council HC III,M6qnxgpeCA4,pB5bvEF17rt
Kitayunjwa H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,UhQMDsDfW85,Kitayunjwa HC III,UhQMDsDfW85,BwVnK8AbnPt
Bukonte H/C III,H/C III,Bumanya Hub   ,Namutumba ,East Central,aPCo8FVyXXJ,Bukonte HC II,aPCo8FVyXXJ,oStJw9PXm0H
Banda H/C III (Namayingo),H/C III,Buyinja Hub   ,Namayingo,East Central,eAfaPMGjisn,Banda HC III,eAfaPMGjisn,Mn53wPoscSi
Buluya H/C II,H/C II,Kamuli Hub   ,Kamuli,East Central,\N,Buluya HC II,nM0hEumLl8G,PxqKrg2KPaM
Bulopa H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,gNdlN0CmZX2,Bulopa HC III,gNdlN0CmZX2,d9f6XbprFpU
Nakalama H/C III,H/C III,Iganga Hub    ,Iganga,East Central,ixwFzMD6GcM,Nakalama HC III,ixwFzMD6GcM,iDz90rwJtib
Buluguyi H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,YbtIUFv6PHM,Buluguyi HC III,YbtIUFv6PHM,i0yiRvXBr8J
Bumooli H/C III,H/C III,Buyinja Hub   ,Namayingo,East Central,aspYcErPY7F,Bumooli HC III,aspYcErPY7F,Xgeu13wxCPi
Balawoli H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,X0BZOCXmDkj,Balawoli HC III,X0BZOCXmDkj,ywNVIgXuO5J
Muterere H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,RVFMEGRSxTl,Muterere HC III,RVFMEGRSxTl,iGIbZjyopSs
Mayuge H/C III (Bugiri),H/C III,Bugiri Hub   ,Bugiri,East Central,bV0ljliUSvK,Bugiri Mayuge HC III GOVT,bV0ljliUSvK,izKbfqVZyuC
Nabisoigi H/C III,H/C III,Bumanya Hub   ,Namutumba ,East Central,MMhakCx4Zy7,Nabisoigi HC III,MMhakCx4Zy7,gmYvna0A33I
Mbulamuti H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,aU7ebDxE9vM,Mbulamuti HC III,aU7ebDxE9vM,O9yf1A19TnV
Bulidha H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,KPoshqPMs2y,Bulidha HC III,KPoshqPMs2y,e8Z33K94qxu
Bupadhengo H/C III,H/C III,Kamuli Hub   ,Kamuli,East Central,ECSAxXG3JMh,Bupadhengo HC III,ECSAxXG3JMh,O8Wd8CIraSN
Nabingoola H/C III,H/C III,Mubende Hub    ,Mubende,Central 2,\N,Nabingoola HC III,DgpugjmuhEo,zJPTiwjabDN
Kasule H/C III,H/C III,Kyegegwa Hub   ,Kyegegwa,Mid Western,\N,Kasule HC III,eW5633TN0Vm,exSjkZbxkfq
Kapelebyong H/C IV,H/C IV,Amuria Hub   ,Amuria,North East,\N,Kapelebyong HC IV,YJz6q902UGT,zFulb5QoNtp
Kasawo H/C III,H/C III,Mukono Hub ,Mukono ,Central 2,zbDMSGLsc1J,Kasawo HC III,zbDMSGLsc1J,z5rVbG9JJoj
Bardege H/C III,H/C III,Gulu Hub   ,Gulu,Mid Northern,aKP6B0Z5nbZ,Bar-dege HC III,aKP6B0Z5nbZ,LqgKUSUAnNb
Buyende H/C III,H/C III,Kidera Hub   ,Buyende ,East Central,a6qaoH2Xzb1,Buyende HC III,a6qaoH2Xzb1,O2Vma9pQG8D
Irundu H/C III,H/C III,Kidera Hub   ,Buyende ,East Central,GRE9Qa05dRS,Irundu HC III,GRE9Qa05dRS,nF86bQ9Kuvx
Nabukalu H/C III,H/C III,Bugiri Hub   ,Bugiri,East Central,txcjTxewsdC,Nabukalu HC III,txcjTxewsdC,DoXIAXGHCD8
Gadumire H/C III,H/C III,Bumanya Hub   ,Kaliro,East Central,Jh6Ds2pV5vS,Gadumire HC III,Jh6Ds2pV5vS,elalSpOW3ZJ
Magada H/C III,H/C III,Bumanya Hub   ,Namutumba ,East Central,bfvn50ACB0b,Magada HC III,bfvn50ACB0b,oiIqf5DwROa
Makuutu H/C III,H/C III,Iganga Hub    ,Iganga,East Central,SL6MqJXGcbv,Makuutu HC III,SL6MqJXGcbv,i3Gm0fUMKSq
KIU Teaching Hospital,Hospital,Bushenyi Hub   ,Bushenyi,South Western,sMYprHm7m3K,KIU Teaching Hospital,sMYprHm7m3K,iUh5bnCawtR
